Company Name,Industry,Symbol,Series,ISIN Code,Absolute_Momentum,FIP_Score,From,To
JSW Steel Ltd.,METALS,JSWSTEEL,EQ,INE019A01038,2.66,-0.12,2020-07-10,2021-06-10
Adani Enterprises Ltd.,SERVICES,ADANIENT,EQ,INE423A01024,8.96,-0.09,2020-07-10,2021-06-10
Laurus Labs Ltd.,PHARMA,LAURUSLABS,EQ,INE947Q01028,4.48,-0.06,2020-07-10,2021-06-10
Firstsource Solutions Ltd.,IT,FSL,EQ,INE684F01012,3.55,-0.06,2020-07-10,2021-06-10
Adani Transmission Ltd.,POWER,ADANITRANS,EQ,INE931S01010,5.51,-0.02,2020-07-10,2021-06-10
APL Apollo Tubes Ltd.,METALS,APLAPOLLO,EQ,INE702C01027,3.14,-0.02,2020-07-10,2021-06-10
Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01012,2.52,-0.02,2020-07-10,2021-06-10
Dixon Technologies (India) Ltd.,CONSUMER GOODS,DIXON,EQ,INE935N01012,2.37,0.0,2020-07-10,2021-06-10
Cyient Ltd.,IT,CYIENT,EQ,INE136B01020,2.41,0.0,2020-07-10,2021-06-10
Century Plyboards (India) Ltd.,CONSUMER GOODS,CENTURYPLY,EQ,INE348B01021,2.17,0.0,2020-07-10,2021-06-10
Steel Authority of India Ltd.,METALS,SAIL,EQ,INE114A01011,2.6,0.0,2020-07-10,2021-06-10
Tata Steel BSL Ltd.,METALS,TATASTLBSL,EQ,INE824B01021,3.27,0.02,2020-07-10,2021-06-10
Persistent Systems Ltd.,IT,PERSISTENT,EQ,INE262H01013,2.46,0.02,2020-07-10,2021-06-10
PNB Housing Finance Ltd.,FINANCIAL SERVICES,PNBHOUSING,EQ,INE572E01012,2.75,0.02,2020-07-10,2021-06-10
Tata Motors Ltd DVR,AUTOMOBILE,TATAMTRDVR,EQ,IN9155A01020,2.8,0.04,2020-07-10,2021-06-10
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,EQ,INE155A01022,2.22,0.04,2020-07-10,2021-06-10
Sequent Scientific Ltd.,PHARMA,SEQUENT,EQ,INE807F01027,1.91,0.04,2020-07-10,2021-06-10
Deepak Nitrite Ltd.,CHEMICALS,DEEPAKNTR,EQ,INE288B01029,2.36,0.04,2020-07-10,2021-06-10
Tata Elxsi Ltd.,IT,TATAELXSI,EQ,INE670A01012,3.35,0.04,2020-07-10,2021-06-10
Supreme Petrochem Ltd.,CHEMICALS,SUPPETRO,EQ,INE663A01017,3.38,0.04,2020-07-10,2021-06-10
Graphite India Ltd.,INDUSTRIAL MANUFACTURING,GRAPHITE,EQ,INE371A01025,3.09,0.05,2020-07-10,2021-06-10
Tube Investments of India Ltd.,AUTOMOBILE,TIINDIA,EQ,INE974X01010,1.92,0.06,2020-07-10,2021-06-10
Adani Total Gas Ltd.,OIL & GAS,ATGL,EQ,INE399L01023,9.63,0.06,2020-07-10,2021-06-10
Balrampur Chini Mills Ltd.,CONSUMER GOODS,BALRAMCHIN,EQ,INE119A01028,1.82,0.07,2020-07-10,2021-06-10
Praj Industries Ltd.,INDUSTRIAL MANUFACTURING,PRAJIND,EQ,INE074A01025,4.76,0.07,2020-07-10,2021-06-10
